MES,Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais,porcentagem de cash back ATUAL,Ticket Médio,"porcentagem ""IDEAL""",lucro,,,,,,,,,,
março,2011-03-20,Grupo 3,Parceiro A,80,$6.443,$2.928,$58.570,"45,45%",$732,,$3.514,,,,,,,,,,
março,2011-03-20,Grupo 3,Parceiro A,91,$4.911,$2.232,$44.645,"45,45%",$491,,$2.679,,,,,,,,,,
março,2011-03-20,Grupo 1,Parceiro A,93,$7.012,$3.200,$63.743,"45,63%",$685,,$3.812,,,,,,,,,,
março,2011-03-21,Grupo 3,Parceiro A,87,$6.121,$2.782,$55.650,"45,45%",$640,,$3.339,,,,,,,,,,
março,2011-03-21,Grupo 3,Parceiro A,99,$6.172,$2.805,$56.110,"45,45%",$567,,$3.367,,,,,,,,,,
março,2011-03-21,Grupo 1,Parceiro A,68,$3.657,$1.662,$33.246,"45,45%",$489,,$1.995,,,,,,,,,,
março,2011-03-22,Grupo 1,Parceiro A,83,$4.952,$2.251,$45.015,"45,45%",$542,,$2.701,,,,,,,,,,
março,2011-03-22,Grupo 2,Parceiro A,106,$6.261,$2.888,$56.916,"46,14%",$537,,$3.372,,,,,,,,,,
março,2011-03-22,Grupo 2,Parceiro A,96,$6.212,$2.823,$56.468,"45,45%",$588,,$3.388,,,,,,,,,,
março,2011-03-23,Grupo 2,Parceiro A,66,$3.380,$1.536,$30.728,"45,45%",$466,,$1.844,,,,,,,,,,
março,2011-03-23,Grupo 2,Parceiro A,71,$4.739,$2.154,$43.079,"45,45%",$607,,$2.585,,,,,,,,,,
março,2011-03-23,Grupo 1,Parceiro A,66,$4.935,$2.243,$44.865,"45,45%",$680,,$2.692,,,,,,,,,,
março,2011-03-24,Grupo 2,Parceiro A,42,$2.074,$943,$18.858,"45,45%",$449,,$1.131,,,,,,,,,,
março,2011-03-24,Grupo 1,Parceiro A,58,$3.459,$1.572,$31.449,"45,45%",$542,,$1.887,,,,,,,,,,
março,2011-03-24,Grupo 3,Parceiro A,63,$4.289,$1.950,$38.991,"45,45%",$619,,$2.339,,,,,,,,,,
março,2011-03-25,Grupo 1,Parceiro A,51,$3.306,$1.503,$30.051,"45,45%",$589,,$1.803,,,,,,,,,,
março,2011-03-25,Grupo 2,Parceiro A,62,$3.655,$1.661,$33.227,"45,45%",$536,,$1.994,,,,,,,,,,
